,8:00-9:30,9:30-11:00,11:00-12:30,12:30-2:00,2:00-3:30,3:30-5:00,5:00-6:30,6:30-8:00,
,8:00-11:00,11:00-2:00,2:00-5:00,5:00-8:00,
,CS-8,Technical & Business Writing (CS-D),Web Programming (CS-A),Web Programming (CS-B),Digital Logic Design (CS-E),Digital Logic Design (CS-F),Pakistan Studies (CS-F),No Class,No Class,
,CS-9,Software Testing (CS-B),Artificial Intelligence (CS-B),Advance Database Concepts (CS),Artificial Intelligence (CS-A),Object Oriented Programming (CS-B),Artificial Intelligence (CS-E),No Class,No Class,
,CS-10,Artificial Intelligence (CS-C),Artificial Intelligence (CS-D),Numerical Methods (CS-D),Information Retrieval (CS),Human Computer Interaction (CS-D),Artificial Intelligence (CS-F),No Class,No Class,
,CS-11,No Class,No Class,Object Oriented Programming (CS-A),Human Computer Interaction (CS-B),Human Computer Interaction (CS-A),No Class,No Class,No Class,
,CS-15,Pakistan Studies (CS-E),Software Engineering (CS-B),Software Engineering (CS-A),Digital Logic Design (CS-H) ,Digital Logic Design (CS-G) ,No Class,No Class,No Class,
,CS-16,Digital Logic Design (CS-D) ,No Class,Communication & Presentation Skills (CS-C1),No Class,Communication & Presentation Skills (CS-D1),No Class,No Class,No Class,
,Seminar Hall,Research Methodology (MS-A & MS-B),Research Methodology (MS-A & MS-B),Programming Fundamentals (CS-I),Human Computer Interaction (CS-E),Communication & Presentation Skills (CS-D2),No Class,No Class,No Class,
,CE-2,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CE-3,Pakistan Studies (CS-H),Differential Equations (Cal II) (CS-E),No Class,No Class,No Class,No Class,No Class,No Class,
,English Lab-I,Comm & Presentation Skills Lab (CS-G1),Comm & Presentation Skills Lab (CS-D1),Comm & Presentation Skills Lab (CS-E1),Comm & Presentation Skills Lab (CS-A1),Comm & Presentation Skills Lab (CS-D2),No Class,No Class,No Class,
,English Lab-II,Comm & Presentation Skills Lab (CS-G2),No Class,Comm & Presentation Skills Lab (CS-E2),Comm & Presentation Skills Lab (CS-A2),Comm & Presentation Skills Lab (CS-F2),No Class,No Class,No Class,
,English Lab-III,No Class,No Class,No Class,Design & Analysis of Algorithms (CS-F),No Class,No Class,No Class,No Class,
,Lab(CS-1),Database Systems Lab (CS-C1 & CS-C2),Computer Programming Lab (CS-A1 & CS-A2),Object Oriented Programming Lab (CS-A1 & CS-A2),No lab,
,Lab(CS-4),No lab,No lab,No lab,No lab,
,Lab(CS-6),Database Systems Lab (CS-D1 & CS-D2),No lab,No lab,No lab,
,Lab(CS-8),No lab,No lab,No lab,No lab,
,Lab(CS-9),Operating Systems Lab (CS-A1 & CS-A2),Reserved for Fast School of Management (FSM),Reserved for Fast EE Department,No lab,
,Lab(CS-10),Operating Systems Lab (CS-B1 & CS-B2),No lab,No lab,No lab,
,Physics Lab,Digital Logic Design Lab (CS-F1),Digital Logic Design Lab (CS-G2),No lab,No lab,
,Micro Lab,Digital Logic Design Lab (CS-F2),No lab,No lab,No lab,
,Wednesday,
,CS-1,Machine Learning (MS-DS),Advanced Programming (CS),Computational Intelligence (MS),Data Sceince (MS),Natural Language Processing (MS),No Class,Calculus-II (CS-R),No Class,
,CS-2,Advance Computer Networks (MS),No Class,Software Testing (CS-A),Human Computer Interaction (CS-F),Human Computer Interaction (CS-C),No Class,No Class,No Class,
,CS-3,Technical & Business Writing (CS-C),Numerical Methods (CS-B),Computer Architecture (CS-B),Numerical Methods (CS-A),Computer Architecture (CS-A),Differential Equations (Cal II) (CS-F),No Class,No Class,
,CS-4,No Class,Object Oriented Programming (CS-F),Object Oriented Programming (CS-E),Software for Mobile Devices (CS-A),No Class,Software for Mobile Devices (CS-B),No Class,No Class,
,CS-5,Mass Communication (CS),Object Oriented Programming (CS-C),Object Oriented Programming (CS-D),Comp. Org. & Assembly L. (CS-C),No Class,Pakistan Studies (CS-B),No Class,No Class,
